id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1958,TRON,TRX,tron,1075,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities']",,86305639776.41606,86305644984.27887,True,,11,,,,2024-12-02T04:12:00.000Z,0.20734965258451063,761753406.3624861,33.9011,-1.8030394,1.74974321,-0.73870453,23.95882431,34.11489685,34.76024544,17895444423.723793,0.5196,17895445503.57,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:01.953799
5994,Shiba Inu,SHIB,shiba-inu,912,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589258086836279.1,589510873214196.4,False,,12,,,,2024-12-02T04:11:00.000Z,2.9979506397694013e-05,7050369540.583146,119.3596,-3.33263071,1.53934364,17.261292,68.77934654,80.07692321,118.80776467,17665666584.201164,0.514,17673244995.04,,2024-12-02T04:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-02 11:13:01.953799
11419,Toncoin,TON,toncoin,625,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2547453988.0093837,5116485539.663999,True,,13,3414166606.0,22463556376.960896,,2024-12-02T04:12:00.000Z,6.5795138226364855,382757072.131411,-16.8091,-3.39440631,-1.69504615,7.74230479,33.27995279,23.8093081,25.48699824,16761008726.63818,0.4877,33663987331.54,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:01.953799
512,Stellar,XLM,stellar,639,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,30075043991.76741,50001786911.162926,False,,14,,,,2024-12-02T04:11:00.000Z,0.5410692685042003,3562005459.5098505,37.4103,-2.19180307,7.65211226,3.3283613,481.49779542,494.27150073,480.51201518,16272682052.857239,0.4725,27054441035.66,,2024-12-02T04:11:00.000Z,,,,,,2024-12-02 11:13:01.953799
6636,Polkadot,DOT,polkadot-new,843,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1524550773.3458881,1524550773.3458881,True,,15,1524550774.536358,13748109931.107477,,2024-12-02T04:12:00.000Z,9.017810466357549,887885853.2422581,-3.5966,-4.08986173,2.48781335,2.21657992,129.99106436,116.88224295,112.07537943,13748109920.372046,0.4003,13748109920.37,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:01.953799
1,Bitcoin,BTC,bitcoin,11813,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19790187.0,19790187.0,False,,1,,,,2024-12-02T04:11:00.000Z,96258.33392320087,39473979159.2232,20.9717,-1.26559043,-0.10557524,-1.82813943,38.47381791,56.77135435,62.81484578,1904970428648.5889,55.4284,2021425012387.22,,2024-12-02T04:11:00.000Z,,,,,,2024-12-02 11:13:02.591841
1027,Ethereum,ETH,ethereum,9617,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120442285.78545202,120442285.78545202,True,,2,,,,2024-12-02T04:11:00.000Z,3671.9911971737433,28780777278.51658,-7.5303,-2.08167674,-0.91045769,8.78581362,46.48974297,53.11038744,45.96031538,442263013171.6641,12.8684,442263013171.66,,2024-12-02T04:11:00.000Z,,,,,,2024-12-02 11:13:02.591841
52,XRP,XRP,xrp,1450,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,57051491087.0,99986947886.0,False,,3,,,,2024-12-02T04:12:00.000Z,2.391363511411079,26213422047.987072,74.0881,-1.05451363,26.58220498,68.84014175,364.46253639,344.15781452,322.14685268,136430854057.04619,3.9725,239136351141.11,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
825,Tether USDt,USDT,tether,106034,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,134122209730.45778,137194367901.14809,True,,4,,,,2024-12-02T04:11:00.000Z,1.0005830863403968,143813624222.76675,15.4266,-0.01715596,0.01250685,0.00792729,0.10072044,0.07885385,0.05263261,134200414558.89545,3.8963,137274364063.05,,2024-12-02T04:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-02 11:13:02.591841
5426,Solana,SOL,solana,798,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,475153853.2805261,589281018.6358033,True,,5,,,,2024-12-02T04:12:00.000Z,228.33185062981957,4293897087.414672,14.071,-2.48024722,-3.08886322,-9.92240708,36.78493066,60.21597406,68.7500585,108492758653.4323,3.159,134551625526.14,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
1839,BNB,BNB,bnb,2292,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144009656.25,144009656.25,False,,6,,,,2024-12-02T04:12:00.000Z,648.6498281062364,2132037548.2285545,-6.6715,-2.05487845,-0.49100138,-1.82644789,12.73738422,18.0380602,21.39116988,93411838772.2007,2.718,93411838772.2,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
74,Dogecoin,DOGE,dogecoin,1113,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147028386383.70523,147028386383.70523,True,,7,,,,2024-12-02T04:11:00.000Z,0.4380076434910469,9631152890.346134,47.6918,-4.20265016,1.94730235,3.07243268,171.33116187,313.23161325,339.93463156,64399557046.21786,1.8738,64399557046.22,,2024-12-02T04:11:00.000Z,,,,,,2024-12-02 11:13:02.591841
3408,USDC,USDC,usd-coin,23480,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,39961228250.38123,39961228250.38123,False,,8,,,,2024-12-02T04:12:00.000Z,1.0000719590683038,7617837837.511873,8.6872,0.01055361,0.00916336,0.0303924,0.00496371,0.01174849,0.01421332,39964103823.13441,1.1636,39964103823.13,,2024-12-02T04:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-02 11:13:02.591841
2010,Cardano,ADA,cardano,1375,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities']",45000000000.0,35085884197.24636,44994868463.33723,False,,9,,,,2024-12-02T04:12:00.000Z,1.1268463156438118,3000615624.1515102,29.9579,-3.08800511,7.25311124,8.58566042,211.33288888,222.9829901,236.27412323,39536399338.7725,1.1504,50708084203.97,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
5805,Avalanche,AVAX,avalanche,812,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409291759.3913514,447628059.3913514,False,,10,,,,2024-12-02T04:12:00.000Z,46.96490732118357,1165546546.01228,51.2227,1.01276742,6.15478919,12.46711397,89.03230485,84.14573126,108.80112621,19222349547.13898,0.5597,33615072253.09,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
1958,TRON,TRX,tron,1075,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities']",,86305639776.41606,86305644984.27887,True,,11,,,,2024-12-02T04:12:00.000Z,0.20734965258451063,761753406.3624861,33.9011,-1.8030394,1.74974321,-0.73870453,23.95882431,34.11489685,34.76024544,17895444423.723793,0.5196,17895445503.57,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
5994,Shiba Inu,SHIB,shiba-inu,912,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589258086836279.1,589510873214196.4,False,,12,,,,2024-12-02T04:11:00.000Z,2.9979506397694013e-05,7050369540.583146,119.3596,-3.33263071,1.53934364,17.261292,68.77934654,80.07692321,118.80776467,17665666584.201164,0.514,17673244995.04,,2024-12-02T04:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-02 11:13:02.591841
11419,Toncoin,TON,toncoin,625,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2547453988.0093837,5116485539.663999,True,,13,3414166606.0,22463556376.960896,,2024-12-02T04:12:00.000Z,6.5795138226364855,382757072.131411,-16.8091,-3.39440631,-1.69504615,7.74230479,33.27995279,23.8093081,25.48699824,16761008726.63818,0.4877,33663987331.54,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
512,Stellar,XLM,stellar,639,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,30075043991.76741,50001786911.162926,False,,14,,,,2024-12-02T04:11:00.000Z,0.5410692685042003,3562005459.5098505,37.4103,-2.19180307,7.65211226,3.3283613,481.49779542,494.27150073,480.51201518,16272682052.857239,0.4725,27054441035.66,,2024-12-02T04:11:00.000Z,,,,,,2024-12-02 11:13:02.591841
6636,Polkadot,DOT,polkadot-new,843,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1524550773.3458881,1524550773.3458881,True,,15,1524550774.536358,13748109931.107477,,2024-12-02T04:12:00.000Z,9.017810466357549,887885853.2422581,-3.5966,-4.08986173,2.48781335,2.21657992,129.99106436,116.88224295,112.07537943,13748109920.372046,0.4003,13748109920.37,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:13:02.591841
1,Bitcoin,BTC,bitcoin,11813,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19790187.0,19790187.0,False,,1,,,,2024-12-02T04:12:00.000Z,96291.10635003448,39498543268.492516,21.0369,-1.24154412,-0.0442789,-1.8015857,38.51647992,56.90124546,62.88498495,1905619001104.0698,55.486,2022113233350.72,,2024-12-02T04:12:00.000Z,,,,,,2024-12-02 11:14:03.580095
1027,Ethereum,ETH,ethereum,9617,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120442285.78545202,120442285.78545202,True,,2,,,,2024-12-02T04:13:00.000Z,3669.100523621851,28797303516.774403,-7.4762,-2.12359163,-0.90872865,8.3592828,46.40097387,53.12168379,45.85948316,441914853841.6147,12.8583,441914853841.61,,2024-12-02T04:13:00.000Z,,,,,,2024-12-02 11:14:03.580095
52,XRP,XRP,xrp,1450,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,57051491087.0,99986947886.0,False,,3,,,,2024-12-02T04:13:00.000Z,2.3933729970404376,26221877713.431305,74.1564,-1.07409713,26.52761681,68.91202625,364.84767102,344.57372249,322.5121361,136545498208.519,3.9758,239337299704.04,,2024-12-02T04:13:00.000Z,,,,,,2024-12-02 11:14:03.580095
825,Tether USDt,USDT,tether,106034,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,134122209730.45778,137194367901.14809,True,,4,,,,2024-12-02T04:12:00.000Z,1.0006400791787557,143930628663.8189,15.5111,-0.00805341,0.02543207,-0.01061417,0.09322857,0.07853833,0.0614714,134208058564.31496,3.8965,137282183159.48,,2024-12-02T04:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-02 11:14:03.580095
5426,Solana,SOL,solana,798,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,475153853.2805261,589281018.6358033,True,,5,,,,2024-12-02T04:13:00.000Z,228.07856872591552,4297623080.13497,14.1528,-2.59577063,-3.21557866,-10.02409908,36.62885297,60.05749064,68.55863288,108372410780.82605,3.1555,134402371307.8,,2024-12-02T04:13:00.000Z,,,,,,2024-12-02 11:14:03.580095
1839,BNB,BNB,bnb,2292,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144009656.25,144009656.25,False,,6,,,,2024-12-02T04:13:00.000Z,648.5926702446967,2134085872.4397504,-6.5914,-2.09266526,-0.49283433,-1.8838057,12.72595885,18.02485705,21.37278985,93403607488.20837,2.7177,93403607488.21,,2024-12-02T04:13:00.000Z,,,,,,2024-12-02 11:14:03.580095
74,Dogecoin,DOGE,dogecoin,1113,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147028386383.70523,147028386383.70523,True,,7,,,,2024-12-02T04:13:00.000Z,0.437186440366712,9643236103.930553,47.7741,-4.33177109,1.8738785,2.66864215,170.84348167,312.69925229,339.24047997,64278816875.953636,1.8703,64278816875.95,,2024-12-02T04:13:00.000Z,,,,,,2024-12-02 11:14:03.580095
